,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,ScoreDiff,RushAvgOff,PassCompRateOff,PassYardsAttOff,RushAvgDef,PassCompRateDef,PassYardsAttDef
1187,11/16/2013,Florida Atlantic,41,60,333,12,6,35,0,Southern Miss,7,25,20,37,12,169,2,34,5.55,0.5,2.92,0.8,0.32,4.57
1189,11/16/2013,Florida State,59,19,225,26,22,298,1,Syracuse,3,50,143,28,15,104,1,56,11.84,0.85,11.46,2.86,0.54,3.71
1197,11/16/2013,Kansas,31,54,315,12,5,61,0,West Virginia,19,32,144,42,23,242,2,12,5.83,0.42,5.08,4.5,0.55,5.76
1198,11/16/2013,Kansas State,33,35,153,29,13,257,1,Texas Christian,31,30,100,33,24,249,1,2,4.37,0.45,8.86,3.33,0.73,7.55
1201,11/16/2013,Louisville,20,41,129,29,19,203,0,Houston,13,29,74,35,16,121,0,7,3.15,0.66,7.0,2.55,0.46,3.46
1202,11/16/2013,Maryland,27,39,184,26,12,135,1,Virginia Tech,24,38,54,31,19,210,0,3,4.72,0.46,5.19,1.42,0.61,6.77
1204,11/16/2013,Memphis,23,39,183,13,6,59,1,South Florida,10,29,127,34,18,198,4,13,4.69,0.46,4.54,4.38,0.53,5.82
1206,11/16/2013,Michigan,27,44,139,43,24,226,0,Northwestern,19,49,143,34,23,179,1,8,3.16,0.56,5.26,2.92,0.68,5.26
1207,11/16/2013,Michigan State,41,48,168,32,15,193,0,Nebraska,28,32,182,32,17,210,1,13,3.5,0.47,6.03,5.69,0.53,6.56
1208,11/16/2013,Mississippi,51,60,373,33,21,378,1,Troy,21,22,-13,42,29,326,1,30,6.22,0.64,11.45,-0.59,0.69,7.76
1210,11/16/2013,Navy,42,51,351,17,10,168,0,South Alabama,14,36,120,36,21,180,0,28,6.88,0.59,9.88,3.33,0.58,5.0
1212,11/16/2013,Nevada-Reno,38,51,311,27,20,171,0,San Jose State,16,30,58,45,28,326,0,22,6.1,0.74,6.33,1.93,0.62,7.24
1215,11/16/2013,North Carolina,34,35,149,27,15,173,0,Pittsburgh,27,40,46,39,23,313,0,7,4.26,0.56,6.41,1.15,0.59,8.03
1217,11/16/2013,Ohio State,60,42,441,30,13,150,0,Illinois,35,38,132,50,33,288,2,25,10.5,0.43,5.0,3.47,0.66,5.76
1218,11/16/2013,Oklahoma,48,44,405,23,12,118,0,Iowa State,10,34,103,36,22,188,2,38,9.2,0.52,5.13,3.03,0.61,5.22
1219,11/16/2013,Oklahoma State,38,40,183,22,16,197,1,Texas,13,43,151,43,29,238,3,25,4.58,0.73,8.95,3.51,0.67,5.53
1220,11/16/2013,Oregon,44,35,145,28,19,288,0,Utah,21,42,116,30,13,181,1,23,4.14,0.68,10.29,2.76,0.43,6.03
1222,11/16/2013,Penn State,45,58,289,23,16,212,1,Purdue,21,20,41,33,21,223,1,24,4.98,0.7,9.22,2.05,0.64,6.76
1225,11/16/2013,Rice,52,69,415,23,13,167,0,Louisiana Tech,14,29,146,30,15,181,2,38,6.01,0.57,7.26,5.03,0.5,6.03
