,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,ScoreDiff,RushAvgOff,PassCompRateOff,PassYardsAttOff,RushAvgDef,PassCompRateDef,PassYardsAttDef
1408,11/30/2013,Arizona State,58,52,204,25,13,274,1,Arizona,21,49,249,30,15,175,3,37,3.92,0.52,10.96,5.08,0.5,5.83
1411,11/30/2013,Auburn,34,52,296,16,11,97,0,Alabama,28,35,218,29,17,277,0,6,5.69,0.69,6.06,6.23,0.59,9.55
1412,11/30/2013,Baylor,41,52,164,38,19,206,1,Texas Christian,38,33,122,47,21,288,3,3,3.15,0.5,5.42,3.7,0.45,6.13
1413,11/30/2013,Boise State,45,40,172,25,17,260,0,New Mexico,17,53,300,17,10,62,1,28,4.3,0.68,10.4,5.66,0.59,3.65
1415,11/30/2013,Brigham Young,28,45,394,18,14,98,0,Nevada-Reno,23,47,104,33,23,259,1,5,8.76,0.78,5.44,2.21,0.7,7.85
1418,11/30/2013,Colorado State,58,49,234,34,26,395,0,Air Force,13,44,154,20,11,125,0,45,4.78,0.76,11.62,3.5,0.55,6.25
1419,11/30/2013,Connecticut,28,29,61,33,25,311,0,Rutgers,17,31,68,36,17,296,2,11,2.1,0.76,9.42,2.19,0.47,8.22
1420,11/30/2013,Duke,27,46,187,36,23,274,0,North Carolina,25,39,225,36,17,223,2,2,4.07,0.64,7.61,5.77,0.47,6.19
1422,11/30/2013,Florida State,37,32,129,31,19,327,1,Florida,7,24,78,25,20,115,0,30,4.03,0.61,10.55,3.25,0.8,4.6
1423,11/30/2013,Georgia,41,37,138,36,22,299,1,Georgia Tech,34,58,263,24,11,232,2,7,3.73,0.61,8.31,4.53,0.46,9.67
1426,11/30/2013,Hawaii,49,52,285,34,24,323,1,Army,42,56,254,21,8,152,0,7,5.48,0.71,9.5,4.54,0.38,7.24
1429,11/30/2013,Indiana,56,54,401,40,26,291,2,Purdue,36,16,31,49,33,485,0,20,7.43,0.65,7.28,1.94,0.67,9.9
1430,11/30/2013,Iowa State,52,53,244,39,25,331,1,West Virginia,44,36,212,38,21,356,2,8,4.6,0.64,8.49,5.89,0.55,9.37
1432,11/30/2013,Kansas State,31,45,208,21,10,160,1,Kansas,10,38,72,36,17,151,4,21,4.62,0.48,7.62,1.89,0.47,4.19
1435,11/30/2013,Maryland,41,38,173,25,13,259,0,No Carolina State,21,54,151,31,21,200,0,20,4.55,0.52,10.36,2.8,0.68,6.45
1438,11/30/2013,Michigan State,14,31,181,19,10,143,1,Minnesota,3,50,124,25,9,125,2,11,5.84,0.53,7.53,2.48,0.36,5.0
1439,11/30/2013,Middle Tennessee,48,48,304,27,19,325,1,UTEP,17,36,177,24,14,122,0,31,6.33,0.7,12.04,4.92,0.58,5.08
1441,11/30/2013,Missouri,28,44,225,30,19,238,0,Texas A+M,21,35,184,35,24,195,0,7,5.11,0.63,7.93,5.26,0.69,5.57
1442,11/30/2013,Nevada-Las Vegas,45,33,131,30,20,270,0,San Diego State,19,29,88,46,24,239,2,26,3.97,0.67,9.0,3.03,0.52,5.2
1445,11/30/2013,New Mexico State,24,43,196,28,18,195,1,Idaho,16,37,209,42,21,250,1,8,4.56,0.64,6.96,5.65,0.5,5.95
1448,11/30/2013,North Texas,42,50,377,26,17,173,1,Tulsa,10,35,122,38,14,114,2,32,7.54,0.65,6.65,3.49,0.37,3.0
1449,11/30/2013,Northwestern,37,51,146,45,31,414,0,Illinois,34,32,185,44,31,307,1,3,2.86,0.69,9.2,5.78,0.7,6.98
1451,11/30/2013,Ohio State,42,46,393,15,6,133,1,Michigan,41,35,152,47,32,451,0,1,8.54,0.4,8.87,4.34,0.68,9.6
1452,11/30/2013,Penn State,31,28,126,30,21,339,0,Wisconsin,24,30,120,55,29,339,3,7,4.5,0.7,11.3,4.0,0.53,6.16
1454,11/30/2013,Rice,17,55,124,28,14,180,0,Tulane,13,21,26,31,14,97,0,4,2.25,0.5,6.43,1.24,0.45,3.13
1457,11/30/2013,South Alabama,38,54,242,30,19,280,0,Georgia State,17,25,24,34,17,321,1,21,4.48,0.63,9.33,0.96,0.5,9.44
1458,11/30/2013,South Carolina,31,50,140,28,15,178,0,Clemson,17,29,127,28,19,225,3,14,2.8,0.54,6.36,4.38,0.68,8.04
1460,11/30/2013,Southern Miss,62,31,102,39,24,370,1,U-A-B,27,36,145,31,18,286,1,35,3.29,0.62,9.49,4.03,0.58,9.23
1461,11/30/2013,Stanford,27,51,261,18,12,158,2,Notre Dame,20,24,64,34,16,199,2,7,5.12,0.67,8.78,2.67,0.47,5.85
1462,11/30/2013,Syracuse,34,51,210,43,29,270,1,Boston College,31,33,191,20,12,168,1,3,4.12,0.67,6.28,5.79,0.6,8.4
1463,11/30/2013,Temple,41,47,206,32,20,328,1,Memphis,21,29,60,33,20,168,0,20,4.38,0.62,10.25,2.07,0.61,5.09
1464,11/30/2013,Tennessee,27,43,218,23,14,199,1,Kentucky,14,33,139,38,25,254,0,13,5.07,0.61,8.65,4.21,0.66,6.68
1467,11/30/2013,Texas-San Antonio,30,49,191,24,19,284,2,Louisiana Tech,10,20,42,37,20,151,1,20,3.9,0.79,11.83,2.1,0.54,4.08
1471,11/30/2013,U.C.L.A.,35,43,188,27,18,208,0,Southern Cal,14,36,140,28,17,174,0,21,4.37,0.67,7.7,3.89,0.61,6.21
1473,11/30/2013,UL-Monroe,31,32,122,29,19,272,0,UL-Lafayette,28,35,167,41,23,304,3,3,3.81,0.66,9.38,4.77,0.56,7.41
1475,11/30/2013,Utah,24,44,155,33,19,233,1,Colorado,17,25,48,47,24,273,1,7,3.52,0.58,7.06,1.92,0.51,5.81
1476,11/30/2013,Utah State,35,45,154,30,20,156,1,Wyoming,7,29,28,29,16,162,1,28,3.42,0.67,5.2,0.97,0.55,5.59
1477,11/30/2013,Vanderbilt,23,45,132,37,26,271,1,Wake Forest,21,24,111,34,16,155,1,2,2.93,0.7,7.32,4.62,0.47,4.56
1479,11/30/2013,Virginia Tech,16,42,126,30,14,238,1,Virginia,6,27,109,40,17,176,1,10,3.0,0.47,7.93,4.04,0.42,4.4
1482,11/30/2013,Western Kentucky,34,28,151,37,21,255,0,Arkansas State,31,54,202,28,19,134,1,3,5.39,0.57,6.89,3.74,0.68,4.79
1486,12/05/2013,Louisville,31,41,177,37,23,255,1,Cincinnati,24,39,124,41,22,304,2,7,4.32,0.62,6.89,3.18,0.54,7.41
1487,12/06/2013,Bowling Green,47,40,181,27,21,393,0,Northern Illinois,27,42,235,40,21,219,2,20,4.53,0.78,14.56,5.6,0.52,5.48
1490,12/07/2013,Auburn,59,74,545,11,9,132,0,Missouri,42,34,231,37,21,303,1,17,7.36,0.82,12.0,6.79,0.57,8.19
1491,12/07/2013,Baylor,30,54,221,38,21,287,0,Texas,10,35,163,34,12,54,2,20,4.09,0.55,7.55,4.66,0.35,1.59
1492,12/07/2013,Connecticut,45,26,75,55,37,463,0,Memphis,10,29,72,40,20,185,1,35,2.88,0.67,8.42,2.48,0.5,4.62
1494,12/07/2013,Florida State,45,43,239,32,19,330,2,Duke,7,31,99,42,21,140,2,38,5.56,0.59,10.31,3.19,0.5,3.33
1495,12/07/2013,Fresno State,24,34,56,53,36,404,2,Utah State,17,40,51,35,16,253,2,7,1.65,0.68,7.62,1.27,0.46,7.23
1498,12/07/2013,Michigan State,34,32,134,40,24,304,1,Ohio State,24,40,273,23,8,101,0,10,4.19,0.6,7.6,6.82,0.35,4.39
1501,12/07/2013,Oklahoma,33,40,165,33,16,193,1,Oklahoma State,24,35,200,35,19,200,1,9,4.12,0.48,5.85,5.71,0.54,5.71
1503,12/07/2013,Rice,41,48,248,18,10,239,0,Marshall,24,37,106,41,24,265,1,17,5.17,0.56,13.28,2.86,0.59,6.46
1504,12/07/2013,Rutgers,31,45,176,24,19,179,0,South Florida,6,20,10,31,14,141,1,25,3.91,0.79,7.46,0.5,0.45,4.55
1506,12/07/2013,South Alabama,30,52,192,24,13,171,0,UL-Lafayette,8,33,69,26,9,143,2,22,3.69,0.54,7.12,2.09,0.35,5.5
1508,12/07/2013,Stanford,38,44,240,18,12,277,0,Arizona State,14,43,138,25,17,173,0,24,5.45,0.67,15.39,3.21,0.68,6.92
1510,12/07/2013,U-C-F,17,32,96,35,24,242,0,S-M-U,13,23,78,39,25,235,1,4,3.0,0.69,6.91,3.39,0.64,6.03
1514,12/14/2013,Navy,34,57,343,7,2,10,0,Army,7,45,157,11,5,50,1,27,6.02,0.29,1.43,3.49,0.45,4.55
