,Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff
38,09/02/2000,Houston,27.0,29,45,47,32,339,1,2,Rice,30.0,61,198,16,5,85,0,2,-3.0,-32,-153,31,27,254,1,0
39,09/02/2000,Iowa State,25.0,40,204,30,16,196,1,0,Ohio,15.0,41,179,25,9,130,2,2,10.0,-1,25,5,7,66,-1,-2
40,09/02/2000,Idaho,20.0,33,145,30,23,256,1,4,Washington,44.0,44,239,31,17,235,1,0,-24.0,-11,-94,-1,6,21,0,4
41,09/02/2000,Illinois,35.0,49,285,27,19,190,1,0,Mid Tennessee St,6.0,35,207,40,25,262,2,0,29.0,14,78,-13,-6,-72,-1,0
42,09/02/2000,Kansas,17.0,32,81,42,16,210,0,3,Southern Methodist,31.0,44,151,25,14,164,1,0,-14.0,-12,-70,17,2,46,-1,3
43,09/02/2000,Kent State,7.0,35,83,32,18,205,2,0,Pittsburgh,30.0,32,119,26,13,293,0,0,-23.0,3,-36,6,5,-88,2,0
44,09/02/2000,Kansas State,54.0,41,267,23,13,233,0,2,Louisiana Tech,10.0,29,72,54,33,319,4,1,44.0,12,195,-31,-20,-86,-4,1
45,09/02/2000,Kentucky,34.0,21,95,34,22,322,3,2,Louisville,40.0,48,186,30,16,256,0,4,-6.0,-27,-91,4,6,66,3,-2
46,09/02/2000,Louisville,40.0,48,186,30,16,256,0,4,Kentucky,34.0,21,95,34,22,322,3,2,6.0,27,91,-4,-6,-66,-3,2
47,09/02/2000,Louisiana State,58.0,43,195,28,23,485,0,0,Western Carolina,0.0,32,96,22,11,71,1,1,58.0,11,99,6,12,414,-1,-1
48,09/02/2000,Louisiana Tech,10.0,29,72,54,33,319,4,1,Kansas State,54.0,41,267,23,13,233,0,2,-44.0,-12,-195,31,20,86,4,-1
49,09/02/2000,Marshall,63.0,50,315,26,18,263,0,1,S E Missouri St,7.0,37,133,28,13,126,2,1,56.0,13,182,-2,5,137,-2,0
50,09/02/2000,Memphis,3.0,41,87,34,10,81,2,3,Mississippi State,17.0,35,45,20,10,82,1,1,-14.0,6,42,14,0,-1,1,2
51,09/02/2000,"Miami, Florida",61.0,30,287,37,22,341,0,1,McNeese State,14.0,44,197,33,19,212,3,1,47.0,-14,90,4,3,129,-3,0
52,09/02/2000,"Miami, Ohio",33.0,28,71,42,24,358,1,1,Vanderbilt,30.0,32,56,25,18,307,0,0,3.0,-4,15,17,6,51,1,1
53,09/02/2000,Michigan,42.0,53,289,19,15,265,0,2,Bowling Green,7.0,28,58,42,18,213,1,0,35.0,25,231,-23,-3,52,-1,2
54,09/02/2000,Minnesota,47.0,46,172,28,18,258,0,0,UL-Monroe,10.0,33,59,32,17,173,0,2,37.0,13,113,-4,1,85,0,-2
55,09/02/2000,Mississippi,49.0,35,118,31,19,306,0,0,Tulane,20.0,35,120,38,17,204,1,0,29.0,0,-2,-7,2,102,-1,0
56,09/02/2000,Missouri,50.0,43,137,26,11,166,1,1,Western Illinois,20.0,39,-2,35,16,253,1,3,30.0,4,139,-9,-5,-87,0,-2
57,09/02/2000,Mississippi State,17.0,35,45,20,10,82,1,1,Memphis,3.0,41,87,34,10,81,2,3,14.0,-6,-42,-14,0,1,-1,-2
58,09/02/2000,Mid Tennessee St,6.0,35,207,40,25,262,2,0,Illinois,35.0,49,285,27,19,190,1,0,-29.0,-14,-78,13,6,72,1,0
59,09/02/2000,Navy,6.0,30,73,13,6,75,0,0,Temple,17.0,58,231,27,17,188,0,2,-11.0,-28,-158,-14,-11,-113,0,-2
60,09/02/2000,North Carolina,30.0,44,173,30,16,242,0,2,Tulsa,9.0,27,19,38,17,214,0,1,21.0,17,154,-8,-1,28,0,1
61,09/02/2000,No Carolina State,38.0,35,142,57,29,397,0,3,Arkansas State,31.0,45,179,25,13,152,0,2,7.0,-10,-37,32,16,245,0,1
62,09/02/2000,Notre Dame,24.0,49,194,16,10,133,0,0,Texas A & M,10.0,37,90,28,16,165,1,0,14.0,12,104,-12,-6,-32,-1,0
63,09/02/2000,Nebraska,49.0,60,505,13,5,91,3,0,San Jose State,13.0,29,193,37,14,153,1,0,36.0,31,312,-24,-9,-62,2,0
64,09/02/2000,UL-Monroe,10.0,33,59,32,17,173,0,2,Minnesota,47.0,46,172,28,18,258,0,0,-37.0,-13,-113,4,-1,-85,0,2
65,09/02/2000,Nevada,7.0,34,-3,30,8,106,3,0,Oregon,36.0,42,225,27,12,231,1,1,-29.0,-8,-228,3,-4,-125,2,-1
66,09/02/2000,Northern Illinois,17.0,34,112,40,20,254,2,1,Northwestern,35.0,57,236,27,16,176,0,1,-18.0,-23,-124,13,4,78,2,0
67,09/02/2000,New Mexico,14.0,44,156,26,12,122,2,0,Boise State,31.0,35,139,34,17,168,0,0,-17.0,9,17,-8,-5,-46,2,0
68,09/02/2000,New Mexico State,0.0,46,121,19,8,76,2,1,South Carolina,31.0,39,204,26,14,149,1,2,-31.0,7,-83,-7,-6,-73,1,-1
69,09/02/2000,North Texas,7.0,34,95,17,10,144,2,2,Baylor,20.0,36,107,30,18,218,0,0,-13.0,-2,-12,-13,-8,-74,2,2
70,09/02/2000,Northwestern,35.0,57,236,27,16,176,0,1,Northern Illinois,17.0,34,112,40,20,254,2,1,18.0,23,124,-13,-4,-78,-2,0
71,09/02/2000,Ohio,15.0,41,179,25,9,130,2,2,Iowa State,25.0,40,204,30,16,196,1,0,-10.0,1,-25,-5,-7,-66,1,2
72,09/02/2000,Ohio State,43.0,50,223,20,11,166,0,1,Fresno State,10.0,27,87,51,31,285,4,2,33.0,23,136,-31,-20,-119,-4,-1
73,09/02/2000,Oklahoma,55.0,33,122,39,19,287,1,2,Texas-El Paso,14.0,38,125,42,21,217,2,5,41.0,-5,-3,-3,-2,70,-1,-3
74,09/02/2000,Oregon,36.0,42,225,27,12,231,1,1,Nevada,7.0,34,-3,30,8,106,3,0,29.0,8,228,-3,4,125,-2,1
75,09/02/2000,Oregon State,21.0,49,194,29,13,132,2,2,Eastern Washington,19.0,33,58,30,13,139,1,2,2.0,16,136,-1,0,-7,1,0
76,09/02/2000,Penn State,6.0,27,30,24,10,136,0,1,Toledo,24.0,54,245,28,18,140,0,0,-18.0,-27,-215,-4,-8,-4,0,1
77,09/02/2000,Pittsburgh,30.0,32,119,26,13,293,0,0,Kent State,7.0,35,83,32,18,205,2,0,23.0,-3,36,-6,-5,88,-2,0
78,09/02/2000,Purdue,48.0,40,145,45,26,336,0,0,Central Michigan,0.0,38,65,28,16,150,0,3,48.0,2,80,17,10,186,0,-3
79,09/02/2000,Rice,30.0,61,198,16,5,85,0,2,Houston,27.0,29,45,47,32,339,1,2,3.0,32,153,-31,-27,-254,-1,0
