,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
36,36,08/30/2008,California,38,36,203,30,20,264,2,0,Michigan State,31,31,81,48,20,321,1,0,H,5,7,5,122,-18,0,-57,1,0,2008
37,37,08/30/2008,Clemson,10,14,0,34,20,188,1,1,Alabama,34,50,239,30,22,180,0,0,N,4.5,-24,-36,-239,4,-2,8,1,1,2008
38,38,08/30/2008,Duke,31,48,218,31,18,146,0,2,James Madison,7,37,188,11,4,51,1,2,H, ,24,11,30,20,14,95,-1,0,2008
39,39,08/30/2008,East Carolina,27,41,158,25,19,211,0,2,Virginia Tech,22,35,104,23,14,139,2,0,N,-9,5,6,54,2,5,72,-2,2,2008
40,40,08/30/2008,Florida,56,38,255,17,10,151,0,0,Hawaii,10,24,60,39,21,181,4,2,H,34.5,46,14,195,-22,-11,-30,-4,-2,2008
41,41,08/30/2008,Florida Atlantic,10,23,37,39,17,255,1,1,Texas,52,46,232,35,28,271,0,0,V,-24,-42,-23,-195,4,-11,-16,1,1,2008
42,42,08/30/2008,Florida Intl,10,26,66,29,10,73,2,1,Kansas,40,36,128,52,37,256,1,1,V,-36,-30,-10,-62,-23,-27,-183,1,0,2008
43,43,08/30/2008,Georgia,45,32,212,27,17,323,0,1,Georgia Southern,21,35,102,36,19,188,1,0,H, ,24,-3,110,-9,-2,135,-1,1,2008
44,44,08/30/2008,Hawaii,10,24,60,39,21,181,4,2,Florida,56,38,255,17,10,151,0,0,V,-34.5,-46,-14,-195,22,11,30,4,2,2008
45,45,08/30/2008,Houston,55,33,148,49,39,467,0,1,Southern Univ,3,23,35,39,25,217,1,2,H, ,52,10,113,10,14,250,-1,-1,2008
46,46,08/30/2008,Idaho,0,25,64,27,10,48,4,1,Arizona,70,49,265,31,23,256,0,0,V,-27,-70,-24,-201,-4,-13,-208,4,1,2008
47,47,08/30/2008,Illinois,42,35,81,42,26,451,2,0,Missouri,52,37,226,45,26,323,1,1,N,-9,-10,-2,-145,-3,0,128,1,-1,2008
48,48,08/30/2008,Indiana,31,41,297,30,18,153,1,0,Western Kentucky,13,31,63,31,19,219,0,1,H,19,18,10,234,-1,-1,-66,1,-1,2008
49,49,08/30/2008,Iowa,46,44,245,29,18,212,1,0,Maine,3,35,137,23,9,83,2,0,H, ,43,9,108,6,9,129,-1,0,2008
50,50,08/30/2008,Kansas,40,36,128,52,37,256,1,1,Florida Intl,10,26,66,29,10,73,2,1,H,36,30,10,62,23,27,183,-1,0,2008
51,51,08/30/2008,Kansas State,45,36,165,42,27,306,1,1,North Texas,6,26,105,29,16,100,0,0,H,27,39,10,60,13,11,206,1,1,2008
52,52,08/30/2008,Kent State,0,36,126,21,13,134,2,1,Boston College,21,47,230,18,12,106,0,0,N,-10,-21,-11,-104,3,1,28,2,1,2008
53,53,08/30/2008,Louisiana State,41,40,266,24,13,193,1,0,Appalachian State,13,28,52,33,14,187,0,0,H, ,28,12,214,-9,-1,6,1,0,2008
54,54,08/30/2008,Louisiana Tech,22,32,94,41,14,175,2,1,Mississippi State,14,31,91,40,22,257,3,2,H,-7.5,8,1,3,1,-8,-82,-1,-1,2008
55,55,08/30/2008,Marshall,35,32,229,22,11,161,1,1,Illinois State,10,40,98,43,24,229,1,0,H, ,25,-8,131,-21,-13,-68,0,1,2008
56,56,08/30/2008,Maryland,14,45,271,21,11,126,2,0,Delaware,7,34,121,23,14,128,2,0,H, ,7,11,150,-2,-3,-2,0,0,2008
57,57,08/30/2008,Memphis,24,40,188,44,24,265,2,0,Mississippi,41,36,216,23,11,222,0,0,V,-7.5,-17,4,-28,21,13,43,2,0,2008
58,58,08/30/2008,Michigan,23,25,36,38,19,167,1,2,Utah,25,43,36,34,21,305,1,2,H,3,-2,-18,0,4,-2,-138,0,0,2008
59,59,08/30/2008,Michigan State,31,31,81,48,20,321,1,0,California,38,36,203,30,20,264,2,0,V,-5,-7,-5,-122,18,0,57,-1,0,2008
60,60,08/30/2008,Minnesota,31,31,127,37,24,298,0,1,Northern Illinois,27,31,72,30,17,326,0,1,H,8,4,0,55,7,7,-28,0,0,2008
61,61,08/30/2008,Mississippi,41,36,216,23,11,222,0,0,Memphis,24,40,188,44,24,265,2,0,H,7.5,17,-4,28,-21,-13,-43,-2,0,2008
62,62,08/30/2008,Mississippi State,14,31,91,40,22,257,3,2,Louisiana Tech,22,32,94,41,14,175,2,1,V,7.5,-8,-1,-3,-1,8,82,1,1,2008
63,63,08/30/2008,Missouri,52,37,226,45,26,323,1,1,Illinois,42,35,81,42,26,451,2,0,N,9,10,2,145,3,0,-128,-1,1,2008
64,64,08/30/2008,Navy,41,58,558,5,2,44,0,1,Towson,13,26,30,47,29,330,1,0,H, ,28,32,528,-42,-27,-286,-1,1,2008
65,65,08/30/2008,Nebraska,47,31,138,36,20,345,2,0,Western Michigan,24,25,8,49,30,342,1,1,H,14,23,6,130,-13,-10,3,1,-1,2008
66,66,08/30/2008,Nevada-Las Vegas,27,30,132,32,19,221,0,0,Utah State,17,37,111,33,18,203,1,1,H,12.5,10,-7,21,-1,1,18,-1,-1,2008
67,67,08/30/2008,Nevada-Reno,49,53,426,32,18,203,1,2,Grambling,13,40,5,27,13,225,2,0,H, ,36,13,421,5,5,-22,-1,2,2008
68,68,08/30/2008,New Mexico,3,32,56,24,7,130,2,1,Texas Christian,26,48,171,26,16,120,1,0,H,-6.5,-23,-16,-115,-2,-9,10,1,1,2008
69,69,08/30/2008,North Carolina,35,29,163,26,15,221,1,1,McNeese State,27,46,152,32,18,239,1,1,H, ,8,-17,11,-6,-3,-18,0,0,2008
70,70,08/30/2008,North Texas,6,26,105,29,16,100,0,0,Kansas State,45,36,165,42,27,306,1,1,V,-27,-39,-10,-60,-13,-11,-206,-1,-1,2008
71,71,08/30/2008,Northern Illinois,27,31,72,30,17,326,0,1,Minnesota,31,31,127,37,24,298,0,1,V,-8,-4,0,-55,-7,-7,28,0,0,2008
